Label,Description,is_bone
1, spleen,False
2,kidney_right,False
3,kidney_left,False
4,gallbladder,False
5,liver,False
6,stomach,False
7,pancreas,False
8,adrenal_gland_right,False
9,adrenal_gland_left,False
10,lung_upper_lobe_left,False
11,lung_lower_lobe_left,False
12,lung_upper_lobe_right,False
13,lung_middle_lobe_right,False
14,lung_lower_lobe_right,False
15,esophagus,False
16,trachea,False
17,thyroid_gland,False
18,small_bowel,False
19,duodenum,False
20,colon,False
21,urinary_bladder,False
22,prostate,False
23,kidney_cyst_left,False
24,kidney_cyst_right,False
25,sacrum,True
26,vertebrae_S1,True
27,vertebrae_L5,True
28,vertebrae_L4,True
29,vertebrae_L3,True
30,vertebrae_L2,True
31,vertebrae_L1,True
32,vertebrae_T12,True
33,vertebrae_T11,True
34,vertebrae_T10,True
35,vertebrae_T9,True
36,vertebrae_T8,True
37,vertebrae_T7,True
38,vertebrae_T6,True
39,vertebrae_T5,True
40,vertebrae_T4,True
41,vertebrae_T3,True
42,vertebrae_T2,True
43,vertebrae_T1,True
44,vertebrae_C7,True
45,vertebrae_C6,True
46,vertebrae_C5,True
47,vertebrae_C4,True
48,vertebrae_C3,True
49,vertebrae_C2,True
50,vertebrae_C1,True
51,heart,False
52,aorta,False
53,pulmonary_vein,False
54,brachiocephalic_trunk,False
55,subclavian_artery_right,False
56,subclavian_artery_left,False
57,common_carotid_artery_right,False
58,common_carotid_artery_left,False
59,brachiocephalic_vein_left,False
60,brachiocephalic_vein_right,False
61,atrial_appendage_left,False
62,superior_vena_cava,False
63,inferior_vena_cava,False
64,portal_vein_and_splenic_vein,False
65,iliac_artery_left,False
66,iliac_artery_right,False
67,iliac_vena_left,False
68,iliac_vena_right,False
69,humerus_left,True
70,humerus_right,True
71,scapula_left,True
72,scapula_right,True
73,clavicula_left,True
74,clavicula_right,True
75,femur_left,True
76,femur_right,True
77,hip_left,True
78,hip_right,True
79,spinal_cord,False
80,gluteus_maximus_left,False
81,gluteus_maximus_right,False
82,gluteus_medius_left,False
83,gluteus_medius_right,False
84,gluteus_minimus_left,False
85,gluteus_minimus_right,False
86,autochthon_left,False
87,autochthon_right,False
88,iliopsoas_left,False
89,iliopsoas_right,False
90,brain,False
91,skull,True
92,rib_left_1,True
93,rib_left_2,True
94,rib_left_3,True
95,rib_left_4,True
96,rib_left_5,True
97,rib_left_6,True
98,rib_left_7,True
99,rib_left_8,True
100,rib_left_9,True
101,rib_left_10,True
102,rib_left_11,True
103,rib_left_12,True
104,rib_right_1,True
105,rib_right_2,True
106,rib_right_3,True
107,rib_right_4,True
108,rib_right_5,True
109,rib_right_6,True
110,rib_right_7,True
111,rib_right_8,True
112,rib_right_9,True
113,rib_right_10,True
114,rib_right_11,True
115,rib_right_12,True
116,sternum,True
117,costal_cartilages,True
